Title,HP,First Ability,Second Ability,Third Ability,First Upgrade,Second Upgrade,Approximate Power Level,Artwork
Warrior,30,Long Sword,Javelin,Second Wind,,,64,Human Fighter
Archer,24,Long Bow,Short Sword,Magic Apple,,,64,Archer
Mage,12,Staff,Fireball,Healing Prayer,,,64,Deadly Shock
Octopus,50,Eat,Waves,Sink,Natural enviroment,,98,kraken
Tentacle,1,Whip,,,,,8,deep-tentacle
Stone,15,,,,,,0,Guardians Fall
Tree,10,,,,,,0,Ancestral Spirit Tree
One Arm Pirate,30,Hook,Wood kick,,,,40,Spearman
Pirate Parrot,15,Claw,,,,,21,Raven
Pirate Captain,50,Gun shot,Barrel explosion,,,,64,Nun
Piranha,15,Piranha Bite,,,,,21,Karma
Shark,30,Shark bite,,,,,42,Merfolk Rider
Monkey,25,Poop throw,Stick hit,,,,29,Heavy Load
Gorilla,50,Punch,Charge,,,,60,Goblin Climber
Barrel,10,,,,,,0,Seat Of The Throne
Mermaid,35,Sing,Drown,,,,43,Merfolk Female Noble
Reef,15,,,,,,0,Lake Rock
