Title,Unit or Effect,Side,Row,Column
Adinkira 'hene,Tree,ALLY,2,3
Adinkira 'hene,Double Attack,ALLY,2,2
Adinkira 'hene,Archer,HOSTILE,2,2
Adinkira 'hene,Tree,HOSTILE,2,1
Adinkira 'hene,Archer,HOSTILE,1,1
Dono,Octopus,HOSTILE,1,2
Dono,Tentacle,HOSTILE,1,1
Dono,Tentacle,HOSTILE,2,1
Dono,Tentacle,HOSTILE,2,2
Dono,Ice Floor,ALLY,2,1
Nsoroma,Gorilla,HOSTILE,2,2
Nsoroma,Monkey,HOSTILE,1,1
Nsoroma,Monkey,HOSTILE,3,1
Nsoroma,Tree,ALLY,1,3
Nsoroma,Tree,ALLY,3,2
Fihankra,Barrel,ALLY,2,4
Fihankra,Lava Floor,ALLY,1,3
Fihankra,Barrel,HOSTILE,1,1
Fihankra,Barrel,HOSTILE,2,1
Fihankra,Pirate Captain,HOSTILE,1,4
Fihankra,One Arm Pirate,HOSTILE,1,2
Fihankra,Pirate Parrot,HOSTILE,2,2
Dwenini aben,Piranha,HOSTILE,1,1
Dwenini aben,Piranha,HOSTILE,2,1
Dwenini aben,Piranha,HOSTILE,1,2
Dwenini aben,Piranha,HOSTILE,2,2
Dwenini aben,Piranha,HOSTILE,1,3
Dwenini aben,Piranha,HOSTILE,2,3
Dwenini aben,Piranha,HOSTILE,1,4
Dwenini aben,Piranha,HOSTILE,2,4
Dwenini aben,Reef,ALLY,1,3
Dwenini aben,Reef,ALLY,2,2
Kuntinkantan,Reef,ALLY,3,3
Kuntinkantan,Stone,ALLY,1,2
Kuntinkantan,Shark,HOSTILE,1,2
Kuntinkantan,Shark,HOSTILE,2,1
Kuntinkantan,Shark,HOSTILE,2,4
Kuntinkantan,Shark,HOSTILE,3,2
Sankofa,Reef,HOSTILE,2,2
Sankofa,Reef,HOSTILE,3,1
Sankofa,Reef,ALLY,1,3
Sankofa,Reef,ALLY,3,3
Sankofa,Ice Floor,ALLY,1,2
Sankofa,Ice Floor,ALLY,2,3
Sankofa,Ice Floor,ALLY,3,2
Sankofa,Mermaid,HOSTILE,3,3
Sankofa,Mermaid,HOSTILE,2,3
Sankofa,Mermaid,HOSTILE,1,3
Tutorial 1,Pirate Parrot,HOSTILE,1,1
Tutorial 2,Monkey,HOSTILE,1,2
Tutorial 2,Tree,ALLY,1,2
Tutorial 3,Gorilla,HOSTILE,1,2
Tutorial 3,Double Attack,ALLY,1,1
Tutorial 3,Lava Floor,ALLY,1,2
Sepow,Dragon,HOSTILE,2,2
Sepow,Dragon Guard,HOSTILE,2,1
Sepow,Dragon Guard,HOSTILE,1,1
Sepow,Dragon Guard,HOSTILE,3,1
Sepow,Lava Floor,ALLY,1,2
Sepow,Lava Floor,ALLY,2,3
Sepow,Lava Floor,ALLY,3,1
